time,hvac_reaAhu_THeaCoiSup_y
950400,285.0114747238524
950430,285.0114747238524
950460,285.0114747238524
950490,285.0114747238524
950520,285.0114747238524
950550,285.0114747238524
950580,285.0114747238524
950610,285.0114747238524
950640,285.0114747238524
950670,285.0114747238524
950700,285.0114747238524
950730,285.0114747238524
950760,285.0114747238524
950790,285.0114747238524
950820,285.0114747238524
950850,285.0114747238524
950880,285.0114747238524
950910,285.0114747238524
950940,285.0114747238524
950970,285.0114747238524
951000,285.0114747238524
951030,285.81739355752654
951060,285.8106856354094
951090,285.8131350124601
951120,285.81557318338423
951150,285.81801029269565
951180,285.8204474826752
951210,285.82288469782355
951240,285.8253218828181
951270,285.8277590343658
951300,285.83019615266005
951330,285.83263323769233
951360,285.8350702894702
951390,285.83750730800136
951420,285.8399442932876
951450,285.84238124532914
951480,285.8448181641264
951510,285.8472550496797
951540,285.8496919019896
951570,285.8521287210565
951600,285.8545655068809
951630,285.8570022490996
951660,285.8594389612121
951690,285.86187564063175
951720,285.86431229177975
951750,285.86674890027444
951780,285.86918548645855
951810,285.87162203504664
951840,285.8740585439396
951870,285.87649502940894
951900,285.87893148281813
951930,285.8813679030061
951960,285.8838042899556
951990,285.8862406436686
952020,285.8886769641456
952050,285.89111325138686
952080,285.89354950539285
952110,285.89598572616393
952140,285.8984219048803
952170,285.9008580459235
952200,285.90329416193424
952230,285.9057302411196
952260,285.9081662816915
952290,285.9106023020814
952320,285.9130382795664
952350,285.915474224428
952380,285.91791014453156
952410,285.920346032969
952440,285.92278188819006
952470,285.92521771018
952500,285.9276534889351
952530,285.9300892288631
952560,285.9325249422918
952590,285.93496062281696
952620,285.937396276821
952650,285.939831898829
952680,285.9422674880212
952710,285.94470304412425
952740,285.94713856704755
952770,285.9495740567612
952800,285.9520095132555
952830,285.9544449214139
952860,285.9568803082724
952890,285.95931566156014
952920,285.9617509845485
952950,285.96418627472514
952980,285.96662153181694
953010,285.9690567557331
953040,285.97149194644373
953070,285.9739271039391
953100,285.97636222821626
953130,285.97879731927463
953160,285.9812323771141
953190,285.9836674017352
953220,285.98610239313825
953250,285.98853735132366
953280,285.990972276292
953310,285.9934071680436
953340,285.9958420265789
953370,285.9982768518984
953400,286.00071164400265
953430,286.0031463981165
953460,286.0055811237159
953490,286.008015816175
953520,286.0104504643098
953550,286.0128850848088
953580,286.0153196757855
953610,286.0177542347802
953640,286.0201887609733
953670,286.0226232540918
953700,286.0250577140451
953730,286.02749214080313
953760,286.0299265343563
953790,286.0323608947018
953820,286.0347952218388
953850,286.0372295157675
953880,286.03966377648806
953910,286.0420980040011
953940,286.0445321983069
953970,286.04696635940604
954000,286.04940048729884
954030,286.05183457664054
954060,286.05426863798414
954090,286.056702666259
954120,286.0591366481479
954150,286.06157059341456
954180,286.0640045054782
954210,286.066438384339
954240,286.06887222999774
954270,286.0713060424547
954300,286.0737398217103
954330,286.0761735677651
954360,286.0786072806195
954390,286.081040960274
954420,286.08347460672894
954450,286.0859082199849
954480,286.08834180004226
954510,286.09077534690147
954540,286.09320886056304
954570,286.09564234102737
954600,286.098075788295
954630,286.10050920836795
954660,286.10294258924324
954690,286.1053759369231
954720,286.10780925140807
954750,286.1102425326985
954780,286.11267578079486
954810,286.1151089956976
954840,286.11754217740724
954870,286.11997532592414
954900,286.12240844124887
954930,286.12484152338175
954960,286.12727457232324
954990,286.1297075880739
955020,286.13214057063425
955050,286.1345735200045
955080,286.13700643618523
955110,286.1394393191769
955140,286.14187216897994
955170,286.14430498559483
955200,286.14673776902197
955230,286.14917052402956
955260,286.15160324108257
955290,286.15403592494926
955320,286.1564685756301
955350,286.1589011931253
955380,286.1613337774357
955410,286.1637663285614
955440,286.16619884650316
955470,286.16863133126117
955500,286.17106378283603
955530,286.17349620122815
955560,286.175928586438
955590,286.178360938466
955620,286.18079325731264
955650,286.18322554297833
955680,286.18565779546356
955710,286.1880900147688
955740,286.19052220089446
955770,286.19295435384106
955800,286.1953864736089
955830,286.1978185684178
955860,286.20025062182964
955890,286.20268264206413
955920,286.20511462912174
955950,286.207546583003
955980,286.2099785037083
956010,286.21241039123817
956040,286.21484224559293
956070,286.2172740667731
956100,286.21970585477914
956130,286.2221376096116
956160,286.2245693312707
956190,286.22700101975704
956220,286.2294326750711
956250,286.23186429721324
956280,286.23429588618404
956310,286.23672744198376
956340,286.23915896461307
956370,286.24159045407225
956400,286.2440219103618
956430,286.24645333914765
956460,286.24888472909936
956490,286.2513160858827
956520,286.2537474094983
956550,286.25617869994653
956580,286.25860995722786
956610,286.2610411813429
956640,286.26347237229174
956670,286.26590353007515
956700,286.2683346546935
956730,286.2707657461471
956760,286.27319680443657
956790,286.2756278295623
956820,286.27805882152484
956850,286.28048978032456
956880,286.2829207059618
956910,286.28535159843716
956940,286.2877824577512
956970,286.29021328390405
957000,286.29264407689635
957030,286.2950748439164
957060,286.2975055705888
957090,286.2999362641021
957120,286.3023669244566
957150,286.3047975516528
957180,286.30722814569117
957210,286.3096587065722
957240,286.3120892342962
957270,286.3145197288638
957300,286.3169501902753
957330,286.31938061853117
957360,286.32181101363193
957390,286.3242413755781
957420,286.32667170436997
957450,286.32910200000805
957480,286.33153226249283
957510,286.33396249182476
957540,286.33639268800425
957570,286.33882285103175
957600,286.34125298090777
957630,286.34368308858353
957660,286.3461131651177
957690,286.3485432115412
957720,286.3509732253083
957750,286.35340320599647
957780,286.3558331535457
957810,286.35826306336344
957840,286.3606929445971
957870,286.36312279270163
957900,286.3655526076589
957930,286.3679823894692
957960,286.37041213813296
957990,286.3728418536507
958020,286.37527153080174
958050,286.3777011780607
958080,286.38013079002457
958110,286.38256037268314
958140,286.38498992240915
958170,286.3874194390373
958200,286.38984892253774
958230,286.39227836679004
958260,286.3947077797437
958290,286.39713716350974
958320,286.39956651443686
958350,286.40199583223495
958380,286.40442511689423
958410,286.4068543684144
958440,286.4092835867953
958470,286.41171277203733
958500,286.41414192414095
958530,286.4165710431066
958560,286.41900012893484
958590,286.4214291816259
958620,286.4238582011804
958650,286.42628718759875
958680,286.4287161408814
958710,286.4311450610289
958740,286.4335739480415
958770,286.43600280191987
958800,286.43843162266427
958830,286.4408604045425
958860,286.4432891534985
958890,286.44571787300356
958920,286.4481465606038
958950,286.4505752154814
958980,286.4530038373642
959010,286.4554324261617
959040,286.4578609818441
959070,286.4602895044018
959100,286.46271799383175
959130,286.4651464501334
959160,286.4675748733067
959190,286.47000326335217
959220,286.47243162027
959250,286.4748599440608
959280,286.47728823472494
959310,286.47971649226287
959340,286.4821447166751
959370,286.48457290796205
959400,286.487001066124
959430,286.489429184853
959460,286.49185727204497
959490,286.4942853301526
959520,286.4967133556542
959550,286.4991413481974
959580,286.50156930761995
959610,286.50399723392076
959640,286.5064251235684
959670,286.5088529815296
959700,286.5112808080642
959730,286.513708601815
959760,286.5161363624917
959790,286.51856409006456
959820,286.520991784524
959850,286.52341944586703
959880,286.525847074093
959910,286.52827466920206
959940,286.53070223119437
959970,286.53312976007055
960000,286.53555725583084
960030,286.53798471379014
960060,286.5404121425736
960090,286.54283953878485
960120,286.5452669020184
960150,286.54769423218386
960180,286.5501215292513
960210,286.5525487932112
960240,286.5549760240606
960270,286.5574032217988
960300,286.55983038642586
960330,286.5622575179422
960360,286.56468461634813
960390,286.5671116816442
960420,286.56953871383075
960450,286.5719657129082
960480,286.5743926788772
960510,286.57681961173796
960540,286.57924651149114
960570,286.581673378137
960600,286.5841002116761
960630,286.5865270056455
960660,286.5889537678076
960690,286.59138049707775
960720,286.5938071935633
960750,286.59623385835505
960780,286.5986604928928
960810,286.6010870946293
960840,286.60351366330815
960870,286.6059401988994
960900,286.6083667013935
960930,286.61079317078736
960960,286.61321960708057
960990,286.615646010273
961020,286.618072380365
961050,286.62049871735707
961080,286.6229250212496
961110,286.62535129204304
961140,286.62777752973784
961170,286.63020373433443
961200,286.6326299058333
961230,286.63505603977916
961260,286.63748214427454
961290,286.6399082162792
961320,286.64233425532376
961350,286.6447602613181
961380,286.64718623423255
961410,286.6496121740574
961440,286.65203808078985
961470,286.6544639544291
961500,286.65688979497537
961530,286.65931560242893
961560,286.6617413767902
961590,286.66416711805954
961620,286.66659282623755
961650,286.6690185013245
961680,286.671444143321
961710,286.6738697522274
961740,286.6762953280442
961770,286.6787208707719
961800,286.6811463804108
961830,286.6835718489072
961860,286.6859972897885
961890,286.6884226995514
961920,286.6908480766358
961950,286.6932734207701
961980,286.6956987318636
962010,286.69812400988684
962040,286.70054925483
962070,286.7029744666901
962100,286.70539964546657
962130,286.7078247911595
962160,286.71024990376924
962190,286.71267498329615
962220,286.7151000297407
962250,286.7175250431032
962280,286.7199500233843
962310,286.7223749705844
962340,286.72479988470377
962370,286.72722476574313
962400,286.72964961370275
962430,286.7320744201933
962460,286.7344991957154
962490,286.7369239430208
962520,286.73934865853545
962550,286.7417733410906
962580,286.7441979905802
962610,286.74662260699444
962640,286.749047190333
962670,286.75147174059595
962700,286.75389625778377
962730,286.75632074189684
962760,286.75874519293563
962790,286.76116961090065
962820,286.7635939957923
962850,286.76601834761095
962880,286.76844266635726
962910,286.77086695203144
962940,286.7732912046342
962970,286.7757154241657
963000,286.77813961062657
963030,286.780563760821
963060,286.7829878808074
963090,286.7854119680565
963120,286.7878360222392
963150,286.79026004335344
963180,286.7926840313998
963210,286.7951079863786
963240,286.79753190829047
963270,286.7999557971356
963300,286.8023796529146
963330,286.8048034756279
963360,286.80722726527597
963390,286.8096510218592
963420,286.81207474537814
963450,286.8144984358331
963480,286.8169220932247
963510,286.8193457175533
963540,286.82176930881934
963570,286.8241928626501
963600,286.82661638699506
963630,286.82903987298886
963660,286.8314633264994
963690,286.8338867506231
963720,286.83631014291154
963750,286.8387335025488
963780,286.84115682926307
963810,286.8435801229642
963840,286.84600338362253
963870,286.84842661122826
963900,286.85084980577864
963930,286.8532729672727
963960,286.85569609571087
963990,286.8581191910933
964020,286.8605422534204
964050,286.86296528269264
964080,286.8653882789105
964110,286.8678112420743
964140,286.8702341721846
964170,286.8726570692419
964200,286.8750799332466
964230,286.8775027579775
964260,286.8799255510058
964290,286.8823483158508
964320,286.88477104764956
964350,286.8871937463979
964380,286.8896164120963
964410,286.89203904474533
964440,286.89446163859486
964470,286.89688419993706
964500,286.89930673275995
964530,286.9017292331316
964560,286.9041516956634
964590,286.9065741261749
964620,286.90899652714023
964650,286.9114188953421
964680,286.9138412305438
964710,286.91626353271573
964740,286.91868580184826
964770,286.9211080379384
964800,286.92353024098543
964830,286.92595240490573
964860,286.92837453748956
964890,286.9307966410175
964920,286.93321871188476
964950,286.93564074972
964980,286.93806275451504
965010,286.9404847262698
965040,286.94290666498466
965070,286.94532857065985
965100,286.9477504381588
965130,286.95017227678767
965160,286.95259408050805
965190,286.9550158493158
965220,286.95743758906315
965250,286.9598592964525
965280,286.9622809708538
965310,286.9647026122278
965340,286.96712422056754
965370,286.9695457879626
965400,286.97196733018853
965430,286.9743888326023
965460,286.97681030421955
965490,286.97923174031774
965520,286.98165314495094
965550,286.9840745202216
965580,286.9864958636832
965610,286.9889171745208
965640,286.9913384524632
965670,286.9937596974203
965700,286.9961809093624
965730,286.99860208827994
965760,287.0010232341699
965790,287.0034443470317
965820,287.00586542686545
965850,287.0082864736714
965880,287.01070748744996
965910,287.01312846820167
965940,287.01554941592684
965970,287.017970330626
966000,287.02039121229967
966030,287.022812050807
966060,287.0252328570351
966090,287.0276536380433
966120,287.03007438070983
966150,287.03249508254834
966180,287.03491576601556
966210,287.0373364165224
966240,287.03975702733703
966270,287.04217760630746
966300,287.04459815592264
966330,287.0470186737371
966360,287.0494391589373
966390,287.05185961125284
966420,287.05428003059404
966450,287.05670041693133
966480,287.05912077025533
966510,287.06154109056297
966540,287.0639613778537
966570,287.0663816321276
966600,287.068801853385
966630,287.07122203010744
966660,287.0736421741899
966690,287.0760622952745
966720,287.0784823844513
966750,287.0809024362542
966780,287.0833224478942
966810,287.0857424273149
966840,287.0881623809124
966870,287.09058230396505
966900,287.0930021849992
966930,287.0954220420017
966960,287.09784186689257
966990,287.10026165890855
967020,287.1026814179596
967050,287.10510114401586
967080,287.1075208370679
967110,287.1099404971126
967140,287.11236012414946
967170,287.1147797181785
967200,287.11719927920007
967230,287.1196187986683
967260,287.12203828478647
967290,287.1244577412873
967320,287.1268771684497
967350,287.1292965638293
967380,287.13171592661155
967410,287.1341352565252
967440,287.1365545534802
967470,287.13897381744675
967500,287.1413930484153
967530,287.14381224638294
967560,287.146231411349
967590,287.1486505433134
967620,287.15106964227675
967650,287.1534887082393
967680,287.1559077412014
967710,287.15832674116365
967740,287.16074570812646
967770,287.1631646420903
967800,287.16558354305545
967830,287.16800240393997
967860,287.17042123690663
967890,287.1728400382676
967920,287.1752588070395
967950,287.17767754295085
967980,287.1800962459117
968010,287.1825149158922
968040,287.18493355288285
968070,287.18735215688065
968100,287.189770727885
968130,287.19218926589576
968160,287.19460777091354
968190,287.1970262429386
968220,287.1994446819715
968250,287.2018630880125
968280,287.2042814610622
968310,287.206699801121
968340,287.2091181081893
968370,287.21153638226764
968400,287.2139546233564
968430,287.21637282497306
968460,287.2187909971526
968490,287.22120913873493
968520,287.2236272429567
968550,287.2260453108157
968580,287.2284633470552
968610,287.2308813571958
968640,287.2332993343834
968670,287.23571727027735
968700,287.23813517599524
968730,287.2405530523957
968760,287.24297089703435
968790,287.2453887090967
968820,287.24780648831177
968850,287.2502242345892
968880,287.2526419478994
968910,287.2550596282327
968940,287.25747727558615
968970,287.25989488995924
969000,287.26231247135195
969030,287.2647300100362
969060,287.2671475166461
969090,287.2695649979328
969120,287.2719824472045
969150,287.2743998636336
969180,287.2768172471302
969210,287.2792345976644
969240,287.28165191522675
969270,287.2840691998142
969300,287.28648645142624
969330,287.28890367006284
969360,287.2913208557243
969390,287.29373800841114
969420,287.2961551281237
969450,287.2985722148624
969480,287.30098926862775
969510,287.30340628942025
969540,287.3058232772403
969570,287.3082402320883
969600,287.3106571539647
969630,287.31307403205864
969660,287.3154908777141
969690,287.3179076991109
969720,287.32032448607873
969750,287.3227412420845
969780,287.325157957034
969810,287.32757463447723
969840,287.32999129239164
969870,287.33240791305116
969900,287.33482448875424
969930,287.3372410424797
969960,287.3396575669021
969990,287.3420740595798
970020,287.3444905196992
970050,287.3469069469895
970080,287.3493233413607
970110,287.351739702783
970140,287.3541560312469
970170,287.3565723267494
970200,287.35898858928994
970230,287.3614048151497
970260,287.36382100295185
970290,291.4697594868591
970320,300.04291020274974
970350,307.2807237952081
970380,311.42891046254283
970410,313.65697956556187
970440,314.95358250959924
970470,315.7991909441483
970500,316.3694803980595
970530,316.7681930417793
970560,317.05699378417495
970590,317.27278475410424
970620,317.43853394969886
970650,317.5687872372602
970680,317.6728656517331
970710,317.7569058782817
970740,317.82535106616444
970770,317.8814556665727
970800,317.92770979488415
970830,317.96594178476124
970860,317.99768345523086
970890,318.0239874435271
970920,318.04580686307446
970950,318.0639343872762
970980,318.0790143341164
971010,318.0915661600919
971040,318.1020152959976
971070,318.11071417784865
971100,318.1179561393181
971130,318.1239854708739
971160,318.1290054941669
971190,318.1331853587504
971220,318.1366657853477
971250,318.13956387175494
971280,318.14197708368255
971310,318.14398656089384
971340,318.1456598586319
971370,318.14705322477084
971400,318.14821349375813
971430,318.14918062661957
971460,318.14998728239544
971490,318.15065928592344
971520,318.1512170455883
971550,318.15168190363886
971580,318.1520689112577
971610,318.15239060046025
971640,318.152658421129
971670,318.1528814541389
971700,318.1530670751996
971730,318.153221572458
971760,318.15335016194166
971790,318.1534571687145
971820,318.15354629504327
971850,318.1536204468778
971880,318.15368212512783
971910,318.1537334639985
971940,318.1537808168488
971970,318.153841918421
972000,318.15393824793
972030,318.1540853187596
972060,318.15427845721064
972090,318.15450781628726
972120,318.1547637820356
972150,318.1550383976664
972180,318.1553255979465
972210,318.1556210213385
972240,318.1559216399029
972270,318.156225459543
972300,318.1565311911985
972330,318.1568380444847
972360,318.1571460343815
972390,318.15745466002323
972420,318.15776350106654
972450,318.15807240935817
972480,318.15838130756265
972510,318.1586902049206
972540,318.1589991033296
972570,318.15930816785
972600,318.15961802104954
972630,318.159928283934
972660,318.160238702834
972690,318.16054921705864
972720,318.16085982657785
972750,318.1611705757424
972780,318.1614815563023
972810,318.1617933478353
972840,318.16210585373966
972870,318.16241877432924
972900,318.16273203188877
972930,318.16304563733013
972960,318.16335963623794
972990,318.1636740757703
973020,318.16398900065735
973050,318.1643044433228
973080,318.16462041456765
973110,318.16493689927466
973140,318.16525385517747
973170,318.1655712138349
973200,318.16588888383717
973230,318.1662067594012
973260,318.16652441954335
