timestamp,hvac_reaZonCor_V_flow_y
2024-01-01 00:00:00,-2.1366982798639985e-07
2024-01-01 00:00:30,-2.113243373479547e-07
2024-01-01 00:01:00,-2.085228434117044e-07
2024-01-01 00:01:30,-2.0552299908868065e-07
2024-01-01 00:02:00,-2.023391185150433e-07
2024-01-01 00:02:30,-1.9895484287786718e-07
2024-01-01 00:03:00,-1.9545196672338237e-07
2024-01-01 00:03:30,-1.918734321768609e-07
2024-01-01 00:04:00,-1.8825400188894789e-07
2024-01-01 00:04:30,-1.846100347388347e-07
2024-01-01 00:05:00,-1.8094562043167918e-07
2024-01-01 00:05:30,-1.7730574587175282e-07
2024-01-01 00:06:00,-1.736842764388895e-07
2024-01-01 00:06:30,-1.700934812534167e-07
2024-01-01 00:07:00,-1.6653744999111645e-07
2024-01-01 00:07:30,-1.6302027232601008e-07
2024-01-01 00:08:00,-1.595521725079643e-07
2024-01-01 00:08:30,-1.5612906077124564e-07
2024-01-01 00:09:00,-1.527529819287516e-07
2024-01-01 00:09:30,-1.4941575650169558e-07
2024-01-01 00:10:00,-1.4613783303012717e-07
2024-01-01 00:10:30,-1.4289058345602766e-07
2024-01-01 00:11:00,-1.3969036660458708e-07
2024-01-01 00:11:30,-1.3653513757762466e-07
2024-01-01 00:12:00,-1.334208066214538e-07
2024-01-01 00:12:30,-1.303494185564047e-07
2024-01-01 00:13:00,-1.2731892848918665e-07
2024-01-01 00:13:30,-1.2432524667152948e-07
2024-01-01 00:14:00,-1.2136837307074756e-07
2024-01-01 00:14:30,-1.184503525114425e-07
2024-01-01 00:15:00,-1.1557118496214649e-07
2024-01-01 00:15:30,-1.127206461118937e-07
2024-01-01 00:16:00,-1.099130499247234e-07
2024-01-01 00:16:30,-1.0713612723615421e-07
2024-01-01 00:17:00,-1.043919228754207e-07
2024-01-01 00:17:30,-1.0168248167181723e-07
2024-01-01 00:18:00,-9.900780359942609e-08
2024-01-01 00:18:30,-9.636379892270893e-08
2024-01-01 00:19:00,-9.3754557327949e-08
2024-01-01 00:19:30,-9.117598908145088e-08
2024-01-01 00:20:00,-8.863831843440122e-08
2024-01-01 00:20:30,-8.612518652604049e-08
2024-01-01 00:21:00,-8.3648862463108e-08
2024-01-01 00:21:30,-8.120730136936964e-08
2024-01-01 00:22:00,-7.879641351543886e-08
2024-01-01 00:22:30,-7.642233344409471e-08
2024-01-01 00:23:00,-7.407892657320352e-08
2024-01-01 00:23:30,-7.177028259208363e-08
2024-01-01 00:24:00,-6.94943566283245e-08
2024-01-01 00:24:30,-6.725319351789538e-08
2024-01-01 00:25:00,-6.505088295051655e-08
2024-01-01 00:25:30,-6.287515578760037e-08
2024-01-01 00:26:00,-6.07341914275471e-08
2024-01-01 00:26:30,-5.862798985447055e-08
2024-01-01 00:27:00,-5.655450619976698e-08
2024-01-01 00:27:30,-5.4517830155170815e-08
2024-01-01 00:28:00,-5.2509782293777736e-08
2024-01-01 00:28:30,-5.053649716147305e-08
2024-01-01 00:29:00,-4.8595929891971295e-08
2024-01-01 00:29:30,-4.6679901061182814e-08
2024-01-01 00:30:00,-4.480272462726944e-08
2024-01-01 00:30:30,-4.2952131461517156e-08
2024-01-01 00:31:00,-4.1132211258508194e-08
2024-01-01 00:31:30,-3.933682944972596e-08
2024-01-01 00:32:00,-3.7576210288009743e-08
2024-01-01 00:32:30,-3.5831950090881715e-08
2024-01-01 00:33:00,-3.411631796444036e-08
2024-01-01 00:33:30,-3.2427269047228525e-08
2024-01-01 00:34:00,-3.076071362604e-08
2024-01-01 00:34:30,-2.911665169291229e-08
2024-01-01 00:35:00,-2.7495083240180648e-08
2024-01-01 00:35:30,-2.588578399945877e-08
2024-01-01 00:36:00,-2.4303067929345793e-08
2024-01-01 00:36:30,-2.2734665909988827e-08
2024-01-01 00:37:00,-2.117648823100391e-08
2024-01-01 00:37:30,-1.9634669442736294e-08
2024-01-01 00:38:00,-1.8105119835189773e-08
2024-01-01 00:38:30,-1.6583749698776487e-08
2024-01-01 00:39:00,-1.5068514176235377e-08
2024-01-01 00:39:30,-1.35635029663544e-08
2024-01-01 00:40:00,-1.2064626360134053e-08
2024-01-01 00:40:30,-1.0561660093120241e-08
2024-01-01 00:41:00,-9.062783568273485e-09
2024-01-01 00:41:30,-7.55981737332126e-09
2024-01-01 00:42:00,-6.058896059256425e-09
2024-01-01 00:42:30,-4.545705658430785e-09
2024-01-01 00:43:00,-3.026380721843057e-09
2024-01-01 00:43:30,-1.5009212448132566e-09
2024-01-01 00:44:00,4.498674020333176e-11
2024-01-01 00:44:30,1.6031638306915687e-09
2024-01-01 00:45:00,3.177699735280178e-09
2024-01-01 00:45:30,4.770639310939478e-09
2024-01-01 00:46:00,6.392206822173645e-09
2024-01-01 00:46:30,8.034222867308495e-09
2024-01-01 00:47:00,9.708956563299911e-09
2024-01-01 00:47:30,1.1406183657222927e-08
2024-01-01 00:48:00,1.3146352674321318e-08
2024-01-01 00:48:30,1.491923936251847e-08
2024-01-01 00:49:00,1.67350679889249e-08
2024-01-01 00:49:30,1.8589748858053417e-08
2024-01-01 00:50:00,2.0493506238444684e-08
2024-01-01 00:50:30,2.244634013985961e-08
2024-01-01 00:51:00,2.4452340276760153e-08
2024-01-01 00:51:30,2.6511506660521594e-08
2024-01-01 00:52:00,2.8638153267834333e-08
2024-01-01 00:52:30,3.0822055851990754e-08
2024-01-01 00:53:00,3.3077528392315646e-08
2024-01-01 00:53:30,3.5404570905012406e-08
2024-01-01 00:54:00,3.780522825973493e-08
2024-01-01 00:54:30,4.029381444137893e-08
2024-01-01 00:55:00,4.28601052095693e-08
2024-01-01 00:55:30,4.551841455325186e-08
2024-01-01 00:56:00,4.8274877054834416e-08
2024-01-01 00:56:30,5.113153759430306e-08
2024-01-01 00:57:00,5.40883962013726e-08
2024-01-01 00:57:30,5.71597668766875e-08
2024-01-01 00:58:00,6.034360480338594e-08
2024-01-01 00:58:30,6.365217913679604e-08
2024-01-01 00:59:00,6.709571418424199e-08
2024-01-01 00:59:30,7.06660305808702e-08
2024-01-01 01:00:00,7.43815320542986e-08
2024-01-01 01:00:30,7.58988168104341e-08
2024-01-01 01:01:00,7.719321277482054e-08
2024-01-01 01:01:30,7.856122366246996e-08
2024-01-01 01:02:00,7.994150388328257e-08
2024-01-01 01:02:30,8.132791888272668e-08
2024-01-01 01:03:00,8.273682749630674e-08
2024-01-01 01:03:30,8.416005031691374e-08
2024-01-01 01:04:00,8.559963220567782e-08
2024-01-01 01:04:30,8.705352831617036e-08
2024-01-01 01:05:00,8.8521738655872e-08
2024-01-01 01:05:30,9.001244264973925e-08
2024-01-01 01:06:00,9.15154160348014e-08
2024-01-01 01:06:30,9.303679338241861e-08
2024-01-01 01:07:00,9.457657470152893e-08
2024-01-01 01:07:30,9.613067029162109e-08
2024-01-01 01:08:00,9.77093044360554e-08
2024-01-01 01:08:30,9.930225287012768e-08
2024-01-01 01:09:00,1.0091565016849565e-07
2024-01-01 01:09:30,1.0255154119693032e-07
2024-01-01 01:10:00,1.0420788111099745e-07
2024-01-01 01:10:30,1.0587649049903305e-07
2024-01-01 01:11:00,1.0757168336094867e-07
2024-01-01 01:11:30,1.0928936999756144e-07
2024-01-01 01:12:00,1.11029550420953e-07
2024-01-01 01:12:30,1.1278813493101853e-07
2024-01-01 01:13:00,1.145712581086022e-07
2024-01-01 01:13:30,1.1637483025397593e-07
2024-01-01 01:14:00,1.181988513798235e-07
2024-01-01 01:14:30,1.200474112127895e-07
2024-01-01 01:15:00,1.219205097670437e-07
2024-01-01 01:15:30,1.238161021998594e-07
2024-01-01 01:16:00,1.257321436681201e-07
2024-01-01 01:16:30,1.276686341858052e-07
2024-01-01 01:17:00,1.2962761862482054e-07
2024-01-01 01:17:30,1.3160909700013704e-07
2024-01-01 01:18:00,1.3360897961087528e-07
2024-01-01 01:18:30,1.3562931132960097e-07
2024-01-01 01:19:00,1.3767213702978698e-07
2024-01-01 01:19:30,1.397272324342716e-07
2024-01-01 01:20:00,1.4180277699131193e-07
2024-01-01 01:20:30,1.438946809984581e-07
2024-01-01 01:21:00,1.4599885475180644e-07
2024-01-01 01:21:30,1.481152982646389e-07
2024-01-01 01:22:00,1.5024401155020342e-07
2024-01-01 01:22:30,1.523768151826102e-07
2024-01-01 01:23:00,1.5451779889239065e-07
2024-01-01 01:23:30,1.566608281106073e-07
2024-01-01 01:24:00,1.588038579863124e-07
2024-01-01 01:24:30,1.609387090855173e-07
2024-01-01 01:25:00,1.630653814136001e-07
2024-01-01 01:25:30,1.651818301143069e-07
2024-01-01 01:26:00,1.6727987574603358e-07
2024-01-01 01:26:30,1.693513388628069e-07
2024-01-01 01:27:00,1.713982643226769e-07
2024-01-01 01:27:30,1.734104278118531e-07
2024-01-01 01:28:00,1.753796498729101e-07
2024-01-01 01:28:30,1.772997959057402e-07
2024-01-01 01:29:00,1.7916473130589119e-07
2024-01-01 01:29:30,1.8096627660149933e-07
2024-01-01 01:30:00,1.8269216258877012e-07
2024-01-01 01:30:30,1.8433420978288397e-07
2024-01-01 01:31:00,1.8588832842025778e-07
2024-01-01 01:31:30,1.87334069822079e-07
2024-01-01 01:32:00,1.8866938907440897e-07
2024-01-01 01:32:30,1.89839074789203e-07
2024-01-01 01:33:00,1.9090242795875507e-07
2024-01-01 01:33:30,1.916754106897461e-07
2024-01-01 01:34:00,1.925874445338238e-07
2024-01-01 01:34:30,1.931825245385796e-07
2024-01-01 01:35:00,1.9349336841029e-07
2024-01-01 01:35:30,1.9374695613343315e-07
2024-01-01 01:36:00,1.937408459078243e-07
2024-01-01 01:36:30,1.9354047333146606e-07
2024-01-01 01:37:00,1.929720246322386e-07
2024-01-01 01:37:30,1.922358965998648e-07
2024-01-01 01:38:00,1.966282955515677e-07
2024-01-01 01:38:30,1.9948500063578202e-07
2024-01-01 01:39:00,2.0058312046641573e-07
2024-01-01 01:39:30,2.002784611573556e-07
2024-01-01 01:40:00,1.979514268524462e-07
2024-01-01 01:40:30,1.941275477704267e-07
2024-01-01 01:41:00,1.891605854688688e-07
2024-01-01 01:41:30,1.828399178947489e-07
2024-01-01 01:42:00,1.7520848675537597e-07
2024-01-01 01:42:30,1.667100282788485e-07
2024-01-01 01:43:00,1.5762877913413877e-07
2024-01-01 01:43:30,1.482714697469851e-07
2024-01-01 01:44:00,1.390000422099049e-07
2024-01-01 01:44:30,1.3023165027972329e-07
2024-01-01 01:45:00,1.2244683885107068e-07
2024-01-01 01:45:30,1.1531024957347505e-07
2024-01-01 01:46:00,1.0615537125860633e-07
2024-01-01 01:46:30,9.556499175697393e-08
2024-01-01 01:47:00,8.428139911586818e-08
2024-01-01 01:47:30,7.271765739680917e-08
2024-01-01 01:48:00,6.120912568438783e-08
2024-01-01 01:48:30,5.0087073387986185e-08
2024-01-01 01:49:00,3.9656186618745777e-08
2024-01-01 01:49:30,3.019252328123957e-08
2024-01-01 01:50:00,2.1943513044993985e-08
2024-01-01 01:50:30,1.514022655327279e-08
2024-01-01 01:51:00,9.972836960091141e-09
2024-01-01 01:51:30,6.602889159258177e-09
2024-01-01 01:52:00,5.120357500418996e-09
2024-01-01 01:52:30,5.5886329757498745e-09
2024-01-01 01:53:00,2.4374864471003524e-09
2024-01-01 01:53:30,-4.4332806715971705e-09
2024-01-01 01:54:00,-9.664060956265996e-09
2024-01-01 01:54:30,-1.4545168082783564e-08
2024-01-01 01:55:00,-1.9191114801547585e-08
