time,hvac_reaAhu_THeaCoiRet_y
7657830,314.0246248970967
7657860,314.02472547318433
7657890,314.0248331622402
7657920,314.0249479761204
7657950,314.0250699263614
7657980,314.0251990247526
7658010,314.025335282704
7658040,314.0254787120207
7658070,314.02562932433614
7658100,314.025787131279
7658130,314.02595214446916
7658160,314.02612437551363
7658190,314.02630383600484
7658220,314.0264905375193
7658250,314.02668449161575
7658280,314.02688570983395
7658310,314.0270942036929
7658340,314.02730998468934
7658370,314.02753306429594
7658400,314.0277634539598
7658430,314.02800116496695
7658460,314.02824620878994
7658490,314.02849859718407
7658520,314.0287583411648
7658550,314.0290254517747
7658580,314.0292999405046
7658610,314.0295818185595
7658640,314.0298710971094
7658670,314.0301677872871
7658700,314.03047190018117
7658730,314.03078344683274
7658760,314.0311024382337
7658790,314.0314288853238
7658820,314.03176279898906
7658850,314.0321041900585
7658880,314.03245306930165
7658910,314.0328094474264
7658940,314.03317333507584
7658970,314.0335447428254
7659000,314.0339236811803
7659030,314.0343101604873
7659060,314.0347041914039
7659090,314.03510578449755
7659120,314.0355149503133
7659150,314.0359316993795
7659180,314.0363560420681
7659210,314.03678798862336
7659240,314.0372275493528
7659270,314.03767473434476
7659300,314.0381295535797
7659330,314.038592016938
7659360,314.0390621341771
7659390,314.03953991492403
7659420,314.040025368671
7659450,314.0405185047673
7659480,314.04101933241276
7659510,314.0415278606503
7659540,314.04204409835927
7659570,314.0425680542485
7659600,314.04309973684906
7659630,314.04363915451376
7659660,314.0441863153867
7659690,314.04474122743414
7659720,314.0453038984138
7659750,314.04587433582293
7659780,314.0464525471739
7659810,314.04703853937866
7659840,314.04763231945566
7659870,314.0482338940852
7659900,314.0488432697608
7659930,314.0494604521173
7659960,314.0500854486957
7659990,314.0507182648148
7660020,314.0513589051229
7660050,314.0520073757526
7660080,314.0526636826237
7660110,314.05332783045054
7660140,314.05399982412973
7660170,314.05467966909333
7660200,314.0553673703829
7660230,314.05606293266027
7660260,314.05676636117516
7660290,314.05747766091173
7660320,314.05819683708785
7660350,314.0589238950567
7660380,314.0596588404032
7660410,314.0604016789524
7660440,314.061152416859
7660470,314.0619110606373
7660500,314.06267761731874
7660530,314.0634520958538
7660560,314.06423450481964
7660590,314.0650248527824
7660620,314.0658231489076
7660650,314.06662940296764
7660680,314.06744362535636
7660710,314.06826582710784
7660740,314.0690960199009
7660770,314.06993421605563
7660800,314.0707804285234
7660830,314.0716309309058
7660860,314.07248148772675
7660890,314.07333208561977
7660920,314.07418272133526
7660950,314.07503339297364
7660980,314.07588409981037
7661010,314.0767348421664
7661040,314.077585621296
7661070,314.07843643927316
7661100,314.0792872989471
7661130,314.080138203821
7661160,314.0809891580325
7661190,314.08184016636045
7661220,314.08269123391824
7661250,314.0835423664535
7661280,314.08439357019165
7661310,314.08524485180146
7661340,314.0860962184036
7661370,314.0869476775747
7661400,314.087799237356
7661430,314.0886509060109
7661460,314.08950269305666
7661490,314.0903546078236
7661520,314.09120666045567
7661550,314.09205886171134
7661580,314.09291122303773
7661610,314.0937637566038
7661640,314.0946164753956
7661670,314.095469393234
7661700,314.09632252488086
7661730,314.0971758860801
7661760,314.0980294935681
7661790,314.0988833647697
7661820,314.09973751917244
7661850,314.1005919750834
7661880,314.10144675190213
7661910,314.10230186907404
7661940,314.1031573445085
7661970,314.10401319338337
7662000,314.1048694259882
7662030,314.1057260448491
7662060,314.1065830430452
7662090,314.10744039625615
7662120,314.1082980621124
7662150,314.10915597669145
7662180,314.1100140546676
7662210,314.1108721932592
7662240,314.1117302794984
7662270,314.11258820278
7662300,314.11344586567355
7662330,314.1143031886781
7662360,314.1151601103399
7662390,314.11601660168174
7662420,314.1168726484426
7662450,314.1177282522884
7662480,314.1185834255186
7662510,314.11943818778315
7662540,314.12029256207484
7662570,314.121146573438
7662600,314.12200024753207
7662630,314.12285360872596
7662660,314.1237066802943
7662690,314.12455948416994
7662720,314.12541204055225
7662750,314.12626436797916
7662780,314.1271164833629
7662810,314.1279684020869
7662840,314.1288201382088
7662870,314.12967170397906
7662900,314.1305231111834
7662930,314.13137437009243
7662960,314.1322254896527
7662990,314.1330764783418
7663020,314.133927343871
7663050,314.13477809205506
7663080,314.13562872911245
7663110,314.13647926065875
7663140,314.13732969067786
7663170,314.13818002304873
7663200,314.1390302612004
7663230,314.139880407742
7663260,314.14073046484
7663290,314.1415804340983
7663320,314.1424303165999
7663350,314.14328011290684
7663380,314.14412982305964
7663410,314.1449794465729
7663440,314.14582898241696
7663470,314.1466784290354
7663500,314.1475277843094
7663530,314.14837704550695
7663560,314.1492262092766
7663590,314.1500752716299
7663620,314.1509242278838
7663650,314.1517730726159
7663680,314.1526217996135
7663710,314.1534704018176
7663740,314.1543188712609
7663770,314.15516719900285
7663800,314.1560153750633
7663830,314.1568633884099
7663860,314.15771122671174
7663890,314.1585588765882
7663920,314.1594063234266
7663950,314.1602535514855
7663980,314.16110054404305
7664010,314.16194728366656
7664040,314.16279375266987
7664070,314.16363993385767
7664100,314.1644858115671
7664130,314.1653313731754
7664160,314.1661766110813
7664190,314.16702152516973
7664220,314.16786612548515
7664250,314.16871043515874
7664280,314.169554491855
7664310,314.17039834947786
7664340,314.1712420752615
7664370,314.172085746237
7664400,314.17292944338834
7664430,318.1489404152878
7664460,318.15146545128215
7664490,318.1514654512811
7664520,318.1514654512805
7664550,318.1514654512804
7664580,318.1514654512802
7664610,318.15146545128
7664640,318.1514654512799
7664670,318.1514654512798
7664700,318.15146545128005
7664730,318.1514654512798
7664760,318.15146545127976
7664790,318.15146545127976
7664820,318.15146545127976
